Question,Answer
Is bee an insect ,yes 
Are bees related to ants ,yes 
Have managed populations of European honey bees experienced substantial declines ,yes 
Where do bees live ,in colonies 
When do bumblebee colonies reach peak population ,mid to late summer 
What do people commonly call cleptoparasitic bees ,cuckoo bees 
How did vespoid wasps evolve ,from predatory ancestors 
What do humans use bees for ,honey 
Why do honey bee queens continue to lay eggs during the foraging season ,to replace daily casualties 
Does Beijing mean northern capital ,yes 
Are the caves of Dragon Bone Hill near the village of Zhoukoudian in Fangshan District ,yes 
Are hutongs disappearing ,yes 
When did Beijing host the Olympic Games ,2008 
When was the An Shi Rebellion launched ,in 755 AD 
In 1949 where did Communist forces enter without fight ,Beiping 
When did Yuan Shikai die ,1916 
Where does air pollution in Beijing come from ,surrounding cities and provinces 
As of August 1st 2006 how many trains stop daily at the Beijing Railway Station or the Beijing West Railway Station ,167 
What is the name of university or similar institution for imparting higher education in Beijing ,Tsinghua University 
Are famous middle schools in Beijing ,Yes 
Copenhagen is the capital of what country ,Denmark 
Copenhagen is the capital of what country ,Denmark 
What is the population of Copenhagen ,1161063 
What is the population of Copenhagen ,1153615 
What transnational bridge was completed in 2000 ,Oresund Bridge 
What transnational bridge was completed in 2000 ,Oresund Bridge 
Why is Copenhagen regional hub ,Its strategic location and excellent infrastructure 
Why is Copenhagen regional hub ,Its strategic location and excellent infrastructure with the largest airport in Scandinavia6 located 14 minutes by train from the city centre 
What happened to Copenhagen between 1251 and 1255 ,bunch of things 
Is Copenhagen completely surrounded with water ,No 
Copenhagen is ranked number one worldwide for which things ,Most Livable City in the World 
Copenhagen is ranked number one worldwide for which things ,Most Livable City Location Ranking Survey 
Why did German troops occupy Copenhagen ,Because it was WW2 
Is Dhaka the capital of Bangladesh ,Yes 
Is Dhaka located on the eastern banks of the Buriganga River ,Yes 
Is University of Dhaka the largest public university in Dhaka ,Yes 
How much area does Dhaka cover ,146260 square kilometers 
How many people did the 1970 Bhola cyclone kill ,500000 
When is the end of the independence war of Bangladesh ,16Dec71 
Did the Mughals arrive in Dhaka ,Yes 
Is University of Dhaka older than the Dhaka College ,No 
What is given for the number of native speakers ,No figure is given for the number of native speakers 
Is english an intonation language ,Yes 
Is english de jure official language of Israel ,no 
Is the stressed syllable called the nuclear syllable ,yes 
Does english grammar have minimal inflection ,Yes 
Did old English develop into Middle English ,Yes 
Are books magazines and newspapers written in English available ,yes 
Is the syntax of German different with different rules ,yes 
Is it true that semantics causes number of false friends ,TRUE 
Here are all syllables unstressed except the syllables/words best and done which are stressed ,yes 
Are many words describing the navy types of ships and other objects or activities on the water of dutch origin ,yes 
Are local variations in the formal written version of the language quite limited being restricted largely to the spelling differences between British and American English ,yes 
Are foxes wary of humans ,Yes 
Are foxes wary of humans ,Yes 
Are fennec foxes endangered ,no 
Are fennec foxes endangered ,No 
Does the diet of foxes include reptiles ,yes 
Does the diet of foxes include reptiles ,Yes 
How long do most foxes live ,Most foxes live to years but they can survive for up to 10 years or even longer in captivity 
How long do most foxes live ,to years 
In what country did fox hunting originate ,the United Kingdom 
In what country did fox hunting originate ,in the United Kingdom 
What is the smallest species of fox ,The Fennec Fox is the smallest species of fox 
What is the smallest species of fox ,the Fennec Fox 
What are female foxes called ,vixens 
What are female foxes called ,vixens 
What is caching food ,Caching is burying it for later consumption usually under leaves snow or soil 
What is caching food ,burying it for later consumption 
Do foxes damage fruit on farms ,No 
How many years ago did African people spread across 31 francophone African countries can speak French either as first or second language ,years ago 
In Old French was the plural for animal animals ,Yes 
Is catalan the only official language of Andorra ,Yes 
In Belgium however is quatrevingts universally used ,Yes 
Is french taught in many schools as primary language along with Arabic ,Yes 
What is widely used by the Lebanese especially for administrative purposes ,French 
Is french descendant of the Latin language ,Yes 
Are there also variety of regional languages In addition ,Yes 
Is it true that france signed the European Charter for Regional Languages ,Yes 
Are the prefixes en and em always nasalized ,Yes 
How many years ago was the Luther Bible by Martin Luther printed ,475 
Is german an inflected language ,yes 
Are there two common word orders ,yes 
Are feminines declined in the singular ,no 
Is of the Internet population German ,no 
Is german written using the Latin alphabet ,Yes 
Was the Luther Bible by Martin Luther printed ,Yes 
Does tz indicate that the preceding vowel is short ,no 
Are there 622650 speakers of German In Canada ,Yes 
Are there also large populations of German ancestry In Mexico ,yes 
Have adverbs of time to appear in the third place in the sentence just after the predicate ,Yes 
Do both sexes of giraffe have horns ,Yes 
Do both sexes of giraffe have horns ,yes 
Do giraffes give birth standing up ,Yes 
Do giraffes give birth standing up ,yes 
Are giraffes hunted for their hides ,Yes 
Are giraffes hunted for their hides ,Yes 
What areas can giraffes inhabit ,savannas grasslands or open woodlands 
What areas can giraffes inhabit ,inhabit savannas grasslands or open woodlands 
What will giraffe use to clean off any bugs that appear on its face ,extremely long tongue 
What will giraffe use to clean off any bugs that appear on its face ,Its extremely long tongue 
How do giraffes defend themselves ,with powerful kick 
How do giraffes defend themselves ,With powerful kicks 
Do male giraffes weigh more than female giraffes ,Yes 
Do male giraffes weigh more than female giraffes ,yes 
Do male giraffes have larger horns than female giraffes ,Yes 
Do male giraffes have larger horns than female giraffes ,Yes 
Are male females generally taller than female giraffes ,Yes 
Do most Japanese people employ politeness ,yes 
Is it true that Japanese borrowed considerable number of words ,yes 
Are the several dialects of Kagoshima famous to speakers ,yes 
Is Lima the capital of Peru ,Yes 
Is the Museum of Gold in Lima ,Yes 
Does Lima have volleyball venues ,Yes 
When was Lima founded ,January 181535 
Where is the Park of the Reserve located ,Near the downtown area 
What is colectivo ,Automobiles that renders express service on some major roads of the Lima Metropolitan Area 
Is the National University of San Marcos in Lima ,Yes 
Has the San Lorenzo Megaport Project been completed ,No 
How many years ago was the Lima Stock Exchange the most profitable in the world ,Three 
Is rainfall very low ,Yes 
Is lima the capital and largest city of Peru ,Yes 
Is The GDP per capita in Lima 7600 ref ,Yes 
The Spanish Crown named Pizarro governor of what ,Hemming 
Is it true that the ideas of the Enlightenment shaped the development of the city ,Yes 
The ideas of the Enlightenment shaped the development of what ,the city Lima 
Is London the capital of the United Kingdom ,Yes 
Is London the capital of the United Kingdom ,Yes 
Does Londons population draw from wide range of religions ,Yes 
Does Londons population draw from wide range of religions ,Yes 
Did Caunte take control of the English throne in 101 ,No 
Over how many languages are spoken in London ,Over 300 languages are spoken in london 
Over how many languages are spoken in London ,Over 300 
What had the AngloSaxons created by the 600s ,By the 600s the AngloSaxons had created new settlement called Lundenwic 
What had the AngloSaxons created by the 600s ,new settlement called Lundenwic 
What city in the UK has been subjected to bouts of terrorism ,London has been subjected to bouts of terrorism 
What city in the UK has been subjected to bouts of terrorism ,London 
What countries did James VI of Scotland unite ,James VI of Scotland united Scotland and England 
What countries did James VI of Scotland unite ,England and Scotland 
How did civil wars affect England during the Middle Ages ,London remained relatively untouched 
Is Nassau Sound body of water in Maine ,no 
Was Nassau placed in operation by Robert Fulton ,yes 
Who was Fort Nassau built by ,the Dutch 
What is Nassau Coliseum ,an arena in Uniondale New York USA 
What was the Dead or Alive fighting arena modeled after ,Magnetic Accelerator Cannon station from Halo 
Is Nassau Range the highest mountain range in the world ,no 
Is Nassau County named after German town ,yes 
Does the United States have base near Glasgow ,yes 
Is Ottawa the capital of Canada ,Yes 
Does Ottawa sit on the Ottowa River ,Yes 
Do small tremors occur in Ottawa ,Yes 
What is Ottawas population ,1190982 
What are Ottawas primary industries ,Logging and lumber 
What is Ottawas junior ice hockey team ,the Ottawa 67s 
What is Ottawas major league hockey team ,the Ottawa Senators 
What are Carleton Universitys athletic teams called ,Carleton Ravens 
Is Ottawa colder than Moscow in January ,Yes 
Is Ottawa on river ,yes 
Is Ottawa on river ,yes 
Does it snow in Ottawa ,yes 
Does it snow in Ottawa ,yes 
Was there cholera outbreak in 1832 ,yes 
Was there cholera outbreak in 1832 ,yes 
Who is the mayor of Ottawa ,Larry OBrien 
Who is the mayor of Ottawa ,Larry OBrien 
How many townships are in Ottawa ,eleven 
How many townships are in Ottawa ,eleven 
Whats the main highway in Ottawa ,Highway 417 The Queensway 
Whats the main highway in Ottawa ,provinical Highway 417 
What was Ottawas name in 1850 ,Bytown 
What was Ottawas name in 1850 ,Bytown 
Based on the average in what year will the next small tremor occur in Ottawa ,2009 
Based on the average in what year will the next small tremor occur in Ottawa ,2009 
Where were immigrants from in the 1800s ,Irish 
Where were immigrants from in the 1800s ,Ireland 
Are there also discussions of having OC Transpo Light Rail and STO Transitway networks linking on the Gatineau side of the Ottawa River ,Yes 
Does the giant otter live in South America ,Yes 
Does the giant otter live in South America ,yes 
Do otters have claws ,Yes 
Do otters have claws ,yes 
Do otters eat fish ,Yes 
Do otters eat fish ,yes 
What is an otters den called ,holt 
What is an otters den called ,holt 
Where do sea otters live ,Beside water 
Where do sea otters live ,Pacific coast of North America 
Why are otters vulnerable to prey depletion ,Preydependence 
Why are otters vulnerable to prey depletion ,preydependency 
Do otters enjoy playing ,Yes 
Do otters enjoy playing ,yes 
Do sea otters have layer of fat like whales ,No 
Do sea otters have layer of fat like whales ,no 
Is the otter in the same family as the badger ,Yes 
Is the otter in the same family as the badger ,yes 
Are there any cities named Santiago in the United States ,yes 
Are there any cities named Santiago in the United States ,Yes 
Was Santiago the name of an indie/punk band ,yes 
Was Santiago the name of an indie/punk band ,Yes 
Is Santiago name in Spanish ,yes 
Is Santiago name in Spanish ,Yes 
What is the origin of the name Santiago ,Spanish for St James 
What is the origin of the name Santiago ,sanit iago James 
Who has released an album or song named Santiago ,The Chieftains Loreena McKennitt 
Who has released an album or song named Santiago ,The Chieftains and Loreena McKennitt 
What is the Order of Santiago ,Spanish knightly order 
What is the Order of Santiago ,Spanish Knightly order 
What notable people have been named Santiago ,Benito Santiago Hugo Santiago Joey Santiago Liliana Santiago Rafael Santiago Maria Santiago Caballero Santiago Cabrera James son of Zebedee 
What notable people have been named Santiago ,Benito Hugo and others 
What fictional stories include main character named Santiago ,Gears of War Rainbow Six Covert Operations Essentials Death Foretold by Gabriel García Márquez Ernest Hemingways The Old Man and the Sea the television series Babylon Anne Rices novel Interview with the Vampire aulo Coelhos The Alchemist novel the television show Friday Night Lights 
What fictional stories include main character named Santiago ,Interview with the Vampire The Alchemist and others 
Is Santiago the national capital of country ,Yes 
Is santiago Spanish for St James from santo saint iago James ,Yes 
Is santiago Spanish for St James ,Yes 
What is Santiago ,Santiago is Spanish for St James It is also the name of places in Argentina Brazil Cape Verde Chile Colombia Costa Rica Cuba the Dominican Republic Ecuador Guatemala Jamaica Mexico Nicaragua Panama Paraguay Peru the Philippines Portugal Spain the United States Venezuela and the Amazon It is also the name of baseball catcher film director guitarist an economist footballer DJ an actor and James son of Zebedee Fictional people with this name include character from Gears of War character from Chronicle of Death Foretold character in Old Man and the Sea character in Babylon character in Interview with the Vampire the main character of The Alchemist and character on Friday Night Lights There has also been battle of Santiago de Cuba couple of bands named Santiago an Order of Santiago and Santiago as shortened form of the Reconquista battle cry 
Does the Australian Black Swan have white feathers on its wings ,yes 
Does the Australian Black Swan have white feathers on its wings ,Yes 
Do swans belong to the family Anatidae ,yes 
Do swans belong to the family Anatidae ,Yes 
Can black swans swim with only one leg ,yes 
Can black swans swim with only one leg ,Yes 
What are young swans known as ,cygnets 
What are young swans known as ,Cygnets 
What is the Irish legend of the Children of Lir about ,stepmother transforming her children into swans for 900 years 
What is the Irish legend of the Children of Lir about ,stepmother transforming her children into swans for 900 years 
What is the Sanskrit word for swan ,hamsa or hansa 
What is the Sanskrit word for swan ,Hamsa or hansa 
Which album was the song The Bonny Swans from ,The Mask and Mirror 
Which album was the song The Bonny Swans from ,The Mask and Mirror 
What is the Polish word for swan ,&#321ab&#281d&#378 
